::1 - - [20/Apr/2021:17:02:47 +0000] "GET /rest/api/subapp/geo/countries HTTP/1.1" 200 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.128 Safari/537.36"
::1 - - [20/Apr/2021:17:02:48 +0000] "GET /rest/api/subapp/geo/regions?countryId=600c36a6cc05b40fac7bb63b HTTP/1.1" 200 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.128 Safari/537.36"
::1 - - [20/Apr/2021:17:02:49 +0000] "GET /rest/api/subapp/option/rdo_macrocategory HTTP/1.1" 200 219 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.128 Safari/537.36"
::1 - - [20/Apr/2021:17:02:55 +0000] "GET /rest/api/subapp/geo/provinces?regionId=600c38d7cc05b40fac7bb6bf HTTP/1.1" 200 426 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.128 Safari/537.36"
::1 - - [21/Apr/2021:17:55:27 +0000] "POST /rest/api/subapp/rdo?regionOfInterest=Piemonte HTTP/1.1" 500 23 "-" "PostmanRuntime/7.26.10"
::1 - - [21/Apr/2021:17:55:46 +0000] "POST /rest/api/subapp/rdo?regionOfInterest=Piemonte HTTP/1.1" 500 23 "-" "PostmanRuntime/7.26.10"
::1 - - [21/Apr/2021:17:55:47 +0000] "POST /rest/api/subapp/rdo?regionOfInterest=Piemonte HTTP/1.1" 500 23 "-" "PostmanRuntime/7.26.10"
::1 - - [21/Apr/2021:17:55:54 +0000] "POST /rest/api/subapp/rdo HTTP/1.1" 500 23 "-" "PostmanRuntime/7.26.10"
::1 - - [21/Apr/2021:17:56:13 +0000] "POST /rest/api/subapp/board/rdo?regionOfInterest=Piemonte HTTP/1.1" 500 23 "-" "PostmanRuntime/7.26.10"
::1 - - [21/Apr/2021:17:56:22 +0000] "POST /rest/api/subapp/board/rdo/all HTTP/1.1" 401 48 "-" "PostmanRuntime/7.26.10"
::1 - - [21/Apr/2021:17:56:31 +0000] "POST /rest/api/subapp/board/rdo/all HTTP/1.1" 401 48 "-" "PostmanRuntime/7.26.10"
